player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,marketvalue,g/a
Darwin Núñez,36,2050,11,8,9,0,3.0,71.6,0.9,0,6.89,Big 6,Centre-Forward,24,70000000,19
Kaoru Mitoma,19,1488,3,4,4,0,1.8,83.4,0.6,1,6.88,Non Big 6,Wing Forward,27,45000000,7
Jean-Philippe Mateta,35,2285,16,5,3,0,1.3,73.8,1.4,2,6.88,Non Big 6,Centre-Forward,26,20000000,21
Antoine Semenyo,33,2113,8,2,6,0,2.1,74.3,1.6,3,6.88,Non Big 6,Wing Forward,24,10000000,10
Joachim Andersen,38,3418,2,3,7,0,0.6,79.5,2.4,4,6.88,Non Big 6,Centre-Back,28,35000000,5
Yoane Wissa,34,2509,12,3,7,0,2.0,73.2,1.1,2,6.87,Non Big 6,Wing Forward,27,28000000,15
Cody Gakpo,35,1646,8,5,1,0,1.9,79.3,0.9,2,6.87,Big 6,Wing Forward,25,50000000,13
Harry Maguire,22,1651,2,2,4,0,0.9,83.4,3.1,0,6.87,Big 6,Centre-Back,31,18000000,4
Cheick Doucouré,11,922,0,0,2,0,0.5,87.2,0.5,0,6.87,Non Big 6,Defensive Midfield,24,35000000,0
Marcus Tavernier,30,2134,3,4,3,0,1.8,79.3,0.4,1,6.86,Non Big 6,Wing Forward,25,20000000,7
Simon Adingra,31,2233,6,1,3,0,1.7,81.1,0.3,3,6.86,Non Big 6,Wing Forward,22,30000000,7
Mario Lemina,35,2976,4,1,10,1,1.4,86.7,1.0,2,6.85,Non Big 6,Defensive Midfield,30,10000000,5
Sergio Reguilón,16,1122,0,4,4,1,0.8,71.8,0.9,1,6.85,Non Big 6,Wing Back,27,12000000,4
Moisés Caicedo,35,2875,1,3,11,0,0.4,90.8,0.9,2,6.85,Big 6,Defensive Midfield,22,75000000,4
William Saliba,38,3420,2,1,4,0,0.3,92.6,1.9,2,6.85,Big 6,Centre-Back,23,80000000,3
Jordan Ayew,35,2551,4,7,7,1,1.4,80.6,1.0,3,6.85,Non Big 6,Centre-Forward,32,4000000,11
André Onana,38,3420,0,0,5,0,0.0,70.4,0.4,2,6.84,Big 6,Goalkeeper,28,35000000,0
Noni Madueke,23,1057,5,2,2,0,1.4,88.5,0.3,2,6.84,Big 6,Wing Forward,22,28000000,7
James Garner,37,3006,1,2,7,0,1.1,82.8,0.7,0,6.84,Non Big 6,Defensive Midfield,23,22000000,3
Ibrahima Konaté,22,1571,0,0,3,1,0.5,88.0,3.5,0,6.84,Big 6,Centre-Back,25,45000000,0
Richarlison,28,1493,11,4,3,0,2.2,70.9,0.9,1,6.83,Big 6,Centre-Forward,27,38000000,15
Rúben Dias,30,2558,0,0,0,0,0.7,94.1,1.6,0,6.83,Big 6,Centre-Back,27,80000000,0
