conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,1277639684600942593,Mon Jun 29 16:26:52 +0000 2020,13,️‍LGBTQ+BLM️‍ https://t.co/xUwHdhhaoe,1277639684600942593.1,https://pbs.twimg.com/media/EbsWgYOU0AAhzsd.jpg,Unnamed: 6,in,Unnamed: 8,0,0.1,3,https://x.com/Brijangless22/status/1277639684600942593,105669019,Brijangless22,1475853269398433797,Tue Dec 28 15:36:54 +0000 2021,112,ocs lgbtq+ https://t.co/p1AVBwgJTX,1475853269398433797.1,https://pbs.twimg.com/media/FHtIBYDXEA0ykw8.jpg,"Porto Alegre, Brazil",2,10,https://x.com/itsyiren/status/1475853269398433797,285268191,itsyiren,1541557997138284546,Mon Jun 27 23:04:01 +0000 2022,8,LGBTQ Gecko Sweater https://t.co/zz7UkqWV6N,1541557997138284546.1,https://pbs.twimg.com/media/FWS20-2X0AAl84k.jpg,"Chicago, IL",1,https://x.com/joppenflopper/status/1541557997138284546,24441721,joppenflopper
1.3444132590347182e+18,Wed Dec 30 22:41:13 +0000 2020,0.0,Is mohsalah an lgbtq ️‍?,1.3444132590347182e+18,,,in,"Kebbi state, Nigeria",0.0,0.0,0.0,https://x.com/AkhY_Herpheez/status/1344413259034718208,426533782.0,AkhY_Herpheez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3421707001072394e+18,Thu Dec 24 18:10:05 +0000 2020,0.0,BUAT TEMEN RL YANG TAU AKUN INI TERUS BACOT BILANG IM PART OF LGBTQ BCS KONTEN YG ADA DISINI FUCK OFF!,1.3421707001072394e+18,,,in,#ลักยิ้มกินพีช ,0.0,0.0,0.0,https://x.com/monancry/status/1342170700107239424,537858083.0,monancry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3443510267076362e+18,Wed Dec 30 18:33:56 +0000 2020,0.0,lgbtq mutuals pls dm me!!,1.3443510267076362e+18,,,in,canada,0.0,0.0,0.0,https://x.com/sixshayou/status/1344351026707636226,1.3158446845399777e+18,sixshayou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3428627382975242e+18,Sat Dec 26 16:00:00 +0000 2020,3.0,jake ... Lgbtq.!? https://t.co/2v3p5dPsD1,1.3428627382975242e+18,https://pbs.twimg.com/ext_tw_video_thumb/1342862639886524417/pu/img/yXBYdXFC1ztLQtzo.jpg,,in,ia bcs my life,0.0,0.0,0.0,https://x.com/trixkth/status/1342862738297524225,1.2705305495310418e+18,trixkth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.342269452356907e+18,Fri Dec 25 00:42:30 +0000 2020,3.0,#NowWatching Minyan (2020) #film ️ #FilmTwitter #FilmForever ️ #LGBT #LGBTQ ️‍ #KAOS https://t.co/RlHCugN8vH,1.342269452356907e+18,https://pbs.twimg.com/media/EqCyo-eXcAEwtv1.jpg,,in,London,0.0,0.0,0.0,https://x.com/kaospheric/status/1342269452356907009,498493704.0,kaospheric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3428135406467195e+18,Sat Dec 26 12:44:31 +0000 2020,1.0,Why media selalu nyorot berita negatif tentang LGBTQ+ ?,1.3428135406467195e+18,,,in,,0.0,0.0,0.0,https://x.com/itsfitri0/status/1342813540646719488,246178825.0,itsfitri0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3429938794532004e+18,Sun Dec 27 00:41:07 +0000 2020,0.0,harus dijelasin berapa kali sih kalo lgbtq itu sexual orientation bukan mental sickness?!!! makanya baca yang bener jangan forward an message whatsapp doang yang lu baca malih,1.3429938794532004e+18,,,in,,1.0,0.0,0.0,https://x.com/duhthere/status/1342993879453200384,403944852.0,duhthere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3434884328369152e+18,Mon Dec 28 09:26:17 +0000 2020,0.0,lgbtq+* ,1.3434884328369152e+18,,,in,any pronouns | 23 | rcbyf,0.0,0.0,0.0,https://x.com/lan4zhui/status/1343488432836915202,1.2797482133613115e+18,lan4zhui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3429839797549548e+18,Sun Dec 27 00:01:46 +0000 2020,1.0,lgbtq rights!,1.3429839797549548e+18,,,in,filmtwt ⋆ she!¡her ⋆ 19 ⋆ 🍉,0.0,0.0,0.0,https://x.com/70scorleone/status/1342983979754954752,1.2694659965295493e+18,70scorleone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3439132341270733e+18,Tue Dec 29 13:34:18 +0000 2020,3.0,ryujin girlfriend ryujin girls ryujin lgbtq,1.3439132341270733e+18,,,in,she/her,0.0,1.0,0.0,https://x.com/ryusveIvet/status/1343913234127073284,4593035362.0,ryusveIvet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3431856776895734e+18,Sun Dec 27 13:23:15 +0000 2020,2.0,Sy sebagai bagian dari LGBTQ+ merasa prihatin atas kejadian tindakan mesum nakes dn pasien di wisma atlet sy harap temen2 bs mengerti ini hanya tindakan oknum tdk bertanggung jawab dn jgn menstigmatisasi kami semua hanya karena kasus ini. Terima Kasih,1.3431856776895734e+18,,,in,"Denpasar, Bali",0.0,1.0,0.0,https://x.com/sathyadharma_/status/1343185677689573377,76847116.0,sathyadharma_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3419495748568883e+18,Thu Dec 24 03:31:25 +0000 2020,0.0,twpk LGBTQ anthem yay,1.3419495748568883e+18,,,in,,0.0,0.0,0.0,https://x.com/sk8ter_rry/status/1341949574856888323,1.2629452395951882e+18,sk8ter_rry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3430616467851717e+18,Sun Dec 27 05:10:24 +0000 2020,0.0,Nakes perawat trending SJW SJW LGBTQ mulai pada sok oke belain orientasi seksual orang padahal yg ngeributin ttg 'sejenis' cuma segelintir. Yg diomongin netizen tuh weird flexingnya sama aspek kesehatannya ceu.,1.3430616467851717e+18,,,in,Malfoy Manor,0.0,0.0,0.0,https://x.com/skaidjks/status/1343061646785171458,259189953.0,skaidjks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3427393022628168e+18,Sat Dec 26 07:49:31 +0000 2020,2.0,Aku kecewa jugak even dalam banyak kdrama sekarang pun banyak dah promote Lgbtq. Watak yang against hubungan lqbtq digambarkan sebagai jahat close minded dan mundur.,1.3427393022628168e+18,,,in,"Anfield, Liverpool",0.0,0.0,1.0,https://x.com/fxxzzxl/status/1342739302262816769,1.0713812060028846e+18,fxxzzxl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3424483547233116e+18,Fri Dec 25 12:33:23 +0000 2020,0.0,LGBTQ LGBTQI LGBTQIA LGBTQIA+ LGBTQIA+- LGBTQIA+-@ LGBTQIA+-@... What s next...?,1.3424483547233116e+18,,,in,"RSA, Jozi, Soweto",0.0,0.0,0.0,https://x.com/Popsupersta/status/1342448354723311616,122424669.0,Popsupersta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3433421229011108e+18,Sun Dec 27 23:44:54 +0000 2020,2.0,// yejun spoilers yejun lgbtq+ protector?!,1.3433421229011108e+18,,,in,"they/she, minor",0.0,0.0,1.0,https://x.com/yejunthinker/status/1343342122901110786,1.3276574037735465e+18,yejunthinker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3431228976996516e+18,Sun Dec 27 09:13:47 +0000 2020,7.0,Baekhyun said LGBTQ+ RISEEEEEE https://t.co/2MXkARkM8o,1.3431228976996516e+18,https://pbs.twimg.com/media/EqO7JyrVQAANNyn.jpg,,in,,0.0,1.0,1.0,https://x.com/cyseororo/status/1343122897699651585,8.75388841497985e+17,cyseororo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
