player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,position,age,league,MarketValue,Height
Lamine Yamal,22,2200.0,5,5,3,0,1.6,84.1,0.1,4,7.11,Barcelona,AM(R),16,Spanish La Liga,75,178
Takefusa Kubo,24,2155.0,7,4,2,0,1.5,80.6,0.4,3,7.11,Real Sociedad,AM(CLR),22,Spanish La Liga,60,173
Julián Álvarez,31,2660.0,11,9,2,0,2.7,87.9,0.1,1,7.1,Man City,AM(CR),24,English Premier League,90,170
Jarrod Bowen,34,3021.0,16,6,2,0,2.5,75.1,1.0,2,7.1,West Ham,AM(CLR),27,English Premier League,50,175
Donyell Malen,21,1786.0,13,1,5,0,2.7,79.6,0.3,4,7.1,Borussia Dortmund,AM(LR),25,German Bundesliga,40,176
Albert Gudmundsson,34,3024.0,14,4,4,0,1.6,81.6,0.1,6,7.1,Genoa,AM(CLR),26,Italian Serie A,22,177
João Cancelo,29,2506.0,2,4,7,0,1.0,84.6,0.8,4,7.09,Barcelona,D(LR),30,Spanish La Liga,30,182
Nicolas Jackson,31,2810.0,14,5,10,0,2.3,78.0,1.0,3,7.07,Chelsea,FW,22,English Premier League,35,188
Brahim Díaz,18,1553.0,8,6,0,0,1.2,87.1,0.1,4,7.06,Real Madrid,AM(CLR),24,Spanish La Liga,35,170
Alessandro Bastoni,28,2283.0,1,3,5,0,0.5,89.8,1.4,0,7.06,Inter,D(C),25,Italian Serie A,70,190
Jonathan David,30,2641.0,19,4,4,0,2.3,82.7,0.6,3,7.05,Lille,AM(C),24,French Ligue 1,50,180
Lucas Paquetá,31,2638.0,4,6,10,0,1.4,75.2,2.0,0,7.04,West Ham,M(CLR),26,English Premier League,65,180
Pedro Porro,35,3093.0,3,7,3,0,1.5,79.6,0.5,3,7.04,Tottenham,D(R),24,English Premier League,45,173
Teun Koopmeiners,28,2543.0,12,5,5,0,1.6,81.4,0.8,2,7.04,Atalanta,D(C),26,Italian Serie A,40,184
Nicolás González,20,1826.0,11,2,1,0,3.0,74.2,2.3,2,7.04,Fiorentina,M(CLR),26,Italian Serie A,40,180
João Palhinha,31,2711.0,4,1,13,0,1.4,83.0,1.2,2,7.04,Fulham,DMC,28,English Premier League,55,190
Dominic Solanke,37,3333.0,19,3,3,0,2.9,73.7,2.6,3,7.03,Bournemouth,FW,26,English Premier League,40,186
Julian Brandt,26,2232.0,7,11,2,0,1.0,87.2,0.3,4,7.03,Borussia Dortmund,M(CLR),28,German Bundesliga,40,185
Josko Gvardiol,26,2330.0,4,1,3,0,1.1,88.3,1.1,1,7.03,Man City,D(CL),22,English Premier League,75,185
Joshua Zirkzee,32,2772.0,11,4,8,0,2.5,78.0,0.9,5,7.03,Bologna,FW,23,Other,40,193
Charles De Ketelaere,24,1971.0,10,7,1,0,1.3,76.1,1.1,3,7.01,Atalanta,M(CLR),23,Italian Serie A,30,192
Aurélien Tchouaméni,22,1987.0,3,1,7,0,1.0,92.0,1.9,1,7.0,Real Madrid,D(C),24,Spanish La Liga,90,182
Achraf Hakimi,20,1931.0,4,5,3,0,1.7,88.7,0.4,1,7.0,PSG,D(LR),25,Other,65,181
Morgan Gibbs-White,35,3164.0,5,10,9,0,1.9,76.9,1.6,2,7.0,Nottingham Forest,AM(CLR),24,Other,40,171
James Ward-Prowse,34,3006.0,7,7,4,0,1.2,89.6,0.7,4,6.99,West Ham,M(CR),29,English Premier League,30,177
Raphinha,17,1373.0,6,9,4,1,2.1,80.9,0.3,3,0.0,RBL,D(LR),27,Spanish La Liga,50,176
John McGinn,35,3010.0,6,4,9,1,1.1,82.7,0.3,3,6.98,Aston Villa,M(CLR),29,English Premier League,30,178
Ermedin Demirovic,33,2881.0,15,9,7,0,2.5,66.5,1.6,3,6.98,Augsburg,AM(CL),26,German Bundesliga,28,185
