player,apps,mins,goals,assists,yellow,red,spg,ps,aerialswon,motm,rating,club,age
Diogo Jota,14(7),1151,10,3,1,1,2,74.5,0.9,1,7.09,"Liverpool,",27
Alexis Mac Allister,31(2),2612,5,5,7,1,1.3,87.8,0.9,2,7.09,"Liverpool,",25
Luis Díaz,32(5),2646,8,5,3,-,2.5,85.3,0.7,3,7.09,"Liverpool,",27
James Tarkowski,38,3420,1,1,11,-,0.7,77.8,3.8,5,7.08,"Everton,",31
Nicolas Jackson,31(4),2810,14,5,10,-,2.3,78,1,3,7.07,"Chelsea,",22
Kieran Trippier,26(2),2240,1,10,5,-,0.3,79.7,1.1,3,7.07,"Newcastle,",33
Thomas Strakosha,1(1),135,-,-,-,-,-,71.2,0.5,-,7.05,"Brentford,",29
Manor Solomon,2(3),198,-,2,1,-,1.4,90.6,-,-,7.05,"Tottenham,",24
Ross Barkley,30(2),2622,5,4,6,-,2.1,84.5,1.4,1,7.05,"Luton,",30
Lucas Paquetá,31,2638,4,6,10,-,1.4,75.2,2,-,7.04,"West Ham,",26
Pedro Porro,35,3093,3,7,3,-,1.5,79.6,0.5,3,7.04,"Tottenham,",24
João Palhinha,31(2),2711,4,1,13,-,1.4,83,1.2,2,7.04,"Fulham,",28
Dominic Solanke,37(1),3333,19,3,3,-,2.9,73.7,2.6,3,7.03,"Bournemouth,",26
Josko Gvardiol,26(2),2330,4,1,3,-,1.1,88.3,1.1,1,7.03,"Man City,",22
Cristian Romero,33,2793,5,-,7,1,0.7,91.9,2.7,1,7.03,"Tottenham,",26
Bryan Mbeumo,22(3),1960,9,6,2,-,2.1,72.3,0.9,3,7.02,"Brentford,",24
Alphonse Areola,31,2702,-,-,1,-,-,59.3,0.4,4,6.96,"West Ham,",31
Diogo Dalot,35(1),3174,2,3,4,1,0.8,83.8,0.9,1,6.96,"Man Utd,",25
Douglas Luiz,35,3003,9,5,12,-,1.4,89.4,0.7,3,6.95,"Aston Villa,",26
Aleksandar Mitrovic,0(1),32,-,-,-,-,2,50,2,-,6.95,"Fulham,",29
Willy-Arnaud Boly,18(2),1443,2,1,1,1,0.7,77.1,2.9,1,6.94,"Nottingham Forest,",33
Dan Burn,32(1),2733,2,2,4,-,0.7,81.1,3.1,1,6.94,"Newcastle,",32
João Pedro,19(12),2046,9,3,2,-,2.4,82.7,1.3,3,6.93,"Brighton,",22
Ben White,35(2),2995,4,4,8,-,0.4,86.7,1,-,6.93,"Arsenal,",26
