PlayerName,Position,Age,MarketValue,Matches,Goals,OwnGoals,Assists,Yellow,2ndYellow,Red,SubsOn,SubsOff,NationalTeam,Height
Ibrahima Konaté,Centre-Back,25,45,39,0,0,1,5,1,0,8,9,France,194
Manuel Akanji,Centre-Back,28,45,49,4,0,0,7,1,0,5,6,Switzerland,188
Lucas Hernández,Left-Back,28,45,42,2,0,2,9,0,0,5,15,France,184
Alejandro Grimaldo,Left-Back,28,45,52,12,0,19,3,0,0,6,12,Spain,171
Serge Gnabry,Right Winger,28,45,24,5,0,2,0,0,0,11,13,Germany,176
Heung-min Son,Left Winger,31,45,44,23,1,12,1,0,0,3,16,South Korea,184
Neymar,Left Winger,32,45,5,1,0,3,1,0,0,1,0,Brazil,175
Jarrad Branthwaite,Centre-Back,21,42,45,3,0,0,9,0,0,0,3,England,195
Leon Bailey,Left Winger,26,42,58,15,0,14,8,0,0,18,31,Jamaica,178
Samu Omorodion,Centre-Forward,20,40,43,11,0,1,5,0,0,17,22,Spain U21,193
Ousmane Diomande,Centre-Back,20,40,44,4,0,1,6,1,0,3,10,Ivory Coast,190
Vitor Roque,Centre-Forward,19,40,17,2,0,0,2,1,0,14,3,Brazil U23,172
Leny Yoro,Centre-Back,18,40,49,3,1,0,5,0,0,5,3,France U23,190
Mathys Tel,Left Winger,19,40,49,14,0,7,2,0,0,34,9,France U21,183
Sávio,Left Winger,20,40,42,11,0,10,6,0,0,5,20,Brazil,176
Bradley Barcola,Left Winger,21,40,49,7,0,12,2,1,0,15,27,France,182
Victor Boniface,Centre-Forward,23,40,38,22,0,10,3,0,0,12,20,Nigeria,190
Alejandro Balde,Left-Back,20,40,28,1,0,1,2,0,0,6,4,Spain,175
Benjamin Sesko,Centre-Forward,20,40,44,19,0,3,1,0,0,20,20,Slovenia,195
Castello Lukeba,Centre-Back,21,40,47,1,0,0,5,0,0,10,5,France U23,184
Johan Bakayoko,Right Winger,21,40,50,14,0,14,2,0,0,4,26,Belgium,179
Edmond Tapsoba,Centre-Back,25,40,54,3,1,1,9,0,0,7,9,Burkina Faso,194
Gonçalo Inácio,Centre-Back,22,40,50,4,0,1,9,1,0,7,8,Portugal,186
Nicolás González,Right Winger,26,40,44,15,0,5,4,0,0,9,12,Argentina,180
Reece James,Right-Back,24,40,11,0,0,2,0,1,1,5,5,England,180
Joshua Zirkzee,Centre-Forward,23,40,37,12,0,7,8,0,0,4,17,Netherlands U21,193
Morgan Gibbs-White,Attacking Midfield,24,40,42,6,0,10,9,0,0,4,8,England U21,171
Bryan Mbeumo,Right Winger,24,40,31,10,0,6,3,0,0,5,5,Cameroon,171
Exequiel Palacios,Central Midfield,25,40,36,6,0,5,8,0,0,6,14,Argentina,177
Axel Disasi,Centre-Back,26,40,44,3,2,0,6,0,0,3,3,France,190
Teun Koopmeiners,Attacking Midfield,26,40,51,15,0,7,7,0,0,9,13,Netherlands,184
Robin Le Normand,Centre-Back,27,40,44,2,1,0,18,0,0,2,8,Spain,187
Federico Chiesa,Left Winger,26,40,38,10,0,3,1,0,0,8,21,Italy,175
Joelinton,Central Midfield,27,40,27,3,0,4,9,0,0,5,10,Brazil,186
Donyell Malen,Right Winger,25,40,39,16,0,5,5,0,0,10,18,Netherlands,176
Gianluigi Donnarumma,Goalkeeper,25,40,43,0,0,0,5,0,1,0,0,Italy,196
Brais Méndez,Attacking Midfield,27,40,44,8,0,9,8,0,0,6,19,Spain,184
Fikayo Tomori,Centre-Back,26,40,36,4,0,0,10,1,0,3,7,England,185
Serhou Guirassy,Centre-Forward,28,40,38,31,0,3,0,0,0,7,13,Guinea,187
Dominic Solanke,Centre-Forward,26,40,42,21,0,4,5,0,0,3,11,England,186
Gregor Kobel,Goalkeeper,26,40,41,0,0,0,1,0,0,0,1,Switzerland,196
Rúben Neves,Defensive Midfield,27,40,48,7,0,12,10,0,0,3,15,Portugal,180
Milan Skriniar,Centre-Back,29,40,32,1,0,0,3,0,0,8,4,Slovakia,188
Andreas Christensen,Centre-Back,28,40,42,3,0,2,8,0,0,5,26,Denmark,187
Julian Brandt,Attacking Midfield,28,40,51,10,0,16,2,0,0,13,22,Germany,185
Adrien Rabiot,Central Midfield,29,40,37,5,0,3,9,0,0,1,3,France,188
Mike Maignan,Goalkeeper,28,40,45,0,0,1,3,0,1,0,2,France,191
Nathan Aké,Centre-Back,29,40,46,3,0,2,0,0,0,9,9,Netherlands,180
Hakan Çalhanoğlu,Defensive Midfield,30,40,43,16,0,3,10,0,0,1,26,Türkiye,178
Rico Lewis,Right-Back,19,38,31,2,0,5,2,0,0,10,6,England,169
Jurrien Timber,Centre-Back,22,38,5,1,0,0,3,0,0,1,4,Netherlands,179
Sandro Tonali,Defensive Midfield,24,38,12,1,0,0,3,0,0,4,7,Italy,181
Boubacar Kamara,Defensive Midfield,24,38,31,1,0,1,7,0,1,2,14,France,184
Marc Guéhi,Centre-Back,23,38,30,0,0,1,2,0,0,4,5,England,182
Richarlison,Centre-Forward,27,38,31,12,0,4,3,0,0,10,14,Brazil,184
Oleksandr Zinchenko,Left-Back,27,38,37,1,0,2,4,0,0,12,18,Ukraine,175
John Stones,Centre-Back,30,38,31,1,0,2,2,0,0,7,10,England,188
Murillo,Centre-Back,21,35,36,0,1,2,6,0,0,0,5,Not Called,184
Nicolas Jackson,Centre-Forward,22,35,53,17,0,6,10,0,0,12,20,Senegal,188
João Gomes,Central Midfield,23,35,40,2,0,1,11,0,1,3,16,Brazil,176
Mohamed Simakan,Centre-Back,24,35,42,3,0,4,12,0,0,11,11,France U21,187
Piero Hincapié,Centre-Back,22,35,44,1,0,1,3,0,0,14,9,Ecuador,184
Elye Wahi,Centre-Forward,21,35,45,14,0,6,9,1,0,12,29,France U23,181
Odilon Kossounou,Centre-Back,23,35,39,1,0,0,5,2,0,8,7,Ivory Coast,191
Roméo Lavia,Defensive Midfield,20,35,1,0,0,0,0,0,0,1,0,Belgium,181
Malo Gusto,Right-Back,21,35,39,0,0,10,7,0,1,11,14,France,178
Jean-Clair Todibo,Centre-Back,24,35,34,0,1,3,3,0,1,0,3,France,190
Rayan Aït-Nouri,Left-Back,22,35,45,3,0,2,9,0,0,6,21,Algeria,180
Oihan Sancet,Attacking Midfield,24,35,39,6,0,6,5,1,1,8,25,Spain,188
Harvey Elliott,Attacking Midfield,21,35,60,11,0,15,5,0,0,26,13,England U21,170
Cheick Doucouré,Defensive Midfield,24,35,13,0,0,0,2,0,0,0,4,Mali,180
Mykhaylo Mudryk,Left Winger,23,35,43,8,0,2,7,0,0,18,21,Ukraine,175
Tino Livramento,Right-Back,21,35,39,1,0,1,1,0,0,18,6,England U21,182
Jacob Ramsey,Attacking Midfield,23,35,21,1,0,2,2,0,0,11,4,England U21,180
Giorgi Mamardashvili,Goalkeeper,23,35,39,0,0,0,3,0,1,0,0,Georgia,197
Ryan Gravenberch,Central Midfield,22,35,39,4,0,2,2,0,0,18,19,Netherlands,190
Khéphren Thuram,Central Midfield,23,35,31,1,0,1,8,0,0,4,9,France U23,192
Curtis Jones,Central Midfield,23,35,36,5,0,3,3,0,1,12,15,England,185
Nahuel Molina,Right-Back,26,35,48,2,0,5,6,0,1,14,20,Argentina,175
Ezri Konsa,Centre-Back,26,35,52,1,0,0,7,1,0,1,8,England,183
Yves Bissouma,Defensive Midfield,27,35,33,0,0,0,8,1,1,4,18,Mali,182
Dávid Hancko,Centre-Back,26,35,50,7,0,3,3,0,0,1,1,Slovakia,188
Edson Álvarez,Defensive Midfield,26,35,50,4,0,2,20,0,0,5,19,Mexico,190
Ferran Torres,Left Winger,24,35,42,11,0,4,5,0,0,22,12,Spain,184
Harvey Barnes,Left Winger,26,35,23,5,0,3,3,0,0,16,6,England,182
Nayef Aguerd,Centre-Back,28,35,38,2,0,2,1,1,0,1,2,Morocco,190
Diogo Dalot,Right-Back,25,35,51,3,0,5,5,1,0,2,2,Portugal,184
Rodrigo Bentancur,Central Midfield,26,35,26,1,0,1,7,0,0,11,14,Uruguay,187
Ismaël Bennacer,Defensive Midfield,26,35,27,2,0,2,3,0,0,9,14,Algeria,175
Mason Mount,Attacking Midfield,25,35,20,1,0,1,2,0,0,12,7,England,181
Tammy Abraham,Centre-Forward,26,35,12,1,0,1,1,0,0,10,2,England,194
Takehiro Tomiyasu,Right-Back,25,35,35,2,0,3,0,1,0,15,7,Japan,188
Brahim Díaz,Attacking Midfield,24,35,46,12,0,9,2,0,0,22,21,Morocco,170
Guglielmo Vicario,Goalkeeper,27,35,41,0,0,0,2,0,0,0,0,Italy,194
Sergej Milinković-Savić,Central Midfield,29,35,46,13,0,17,7,0,2,6,12,Serbia,192
David Raya,Goalkeeper,28,35,42,0,0,0,2,0,0,0,1,Spain,183
Joachim Andersen,Centre-Back,27,35,41,2,0,3,9,0,0,0,2,Denmark,192
Ederson,Goalkeeper,30,35,43,0,0,0,5,0,0,0,4,Brazil,188
André Onana,Goalkeeper,28,35,54,0,0,0,6,0,0,0,1,Cameroon,190
Fabinho,Defensive Midfield,30,35,30,1,0,4,4,1,0,2,4,Brazil,188
Leandro Trossard,Left Winger,29,35,49,17,0,2,2,0,0,22,23,Belgium,172
Raheem Sterling,Left Winger,29,35,43,10,0,8,8,0,0,12,19,England,170
Manuel Locatelli,Defensive Midfield,26,33,42,1,0,6,8,0,0,3,7,Italy,185
Ilya Zabarnyi,Centre-Back,21,32,44,1,0,0,5,0,0,1,0,Ukraine,189
Max Kilman,Centre-Back,27,32,44,2,0,1,8,0,0,0,1,Not Called,194
Lutsharel Geertruida,Right-Back,23,32,48,9,1,5,5,0,0,0,3,Netherlands,184
Joey Veerman,Central Midfield,25,32,43,8,0,20,3,0,0,2,15,Netherlands,185
Scott McTominay,Defensive Midfield,27,32,47,10,0,3,5,0,0,16,6,Scotland,191
Christian Pulisic,Right Winger,25,32,56,18,0,12,3,0,0,6,33,USA,177
Luke Shaw,Left-Back,28,32,15,0,0,1,7,0,0,0,7,England,178
Alisson,Goalkeeper,31,32,32,0,0,0,1,0,0,0,0,Brazil,193
Arthur Vermeeren,Central Midfield,19,30,40,2,0,7,5,0,0,3,5,Belgium,180
Kenan Yıldız,Second Striker,19,30,44,8,0,2,4,0,0,22,17,Türkiye,187
Adam Wharton,Central Midfield,20,30,49,2,0,6,8,0,0,7,22,England,182
Evanilson,Centre-Forward,24,30,42,25,0,7,6,0,1,7,30,Brazil,183
Gabri Veiga,Central Midfield,22,30,26,6,0,5,4,0,0,5,16,Spain U21,185
Willian Pacho,Centre-Back,22,30,45,0,0,2,8,0,0,0,1,Ecuador,187
Simon Adingra,Right Winger,22,30,50,9,0,6,4,0,0,13,20,Ivory Coast,175
Éderson,Central Midfield,24,30,52,7,0,1,10,0,0,6,13,Brazil,183
Enzo Millot,Attacking Midfield,21,30,36,6,0,11,5,0,0,6,22,France U23,174
Yéremy Pino,Right Winger,21,30,10,0,0,0,5,0,0,2,7,Spain,172
Malick Thiaw,Centre-Back,22,30,31,0,1,1,6,0,1,6,5,Germany,194
Folarin Balogun,Centre-Forward,22,30,40,10,0,9,2,0,0,11,20,USA,178
Ian Maatsen,Left-Back,22,30,41,3,0,3,11,0,0,14,10,Netherlands,178
Kiernan Dewsbury-Hall,Central Midfield,25,30,49,12,0,15,6,0,0,6,12,Not Called,178
Benoît Badiashile,Centre-Back,23,30,22,1,1,1,1,0,0,3,4,France,194
João Félix,Left Winger,24,30,45,10,0,6,5,0,0,20,21,Portugal,181
Morten Hjulmand,Defensive Midfield,24,30,51,4,0,4,15,0,0,7,25,Denmark,185
Orkun Kökçü,Central Midfield,23,30,46,7,0,11,13,0,0,11,27,Türkiye,175
Charles De Ketelaere,Attacking Midfield,23,30,49,14,1,10,1,0,0,14,32,Belgium,192
Pedro Gonçalves,Attacking Midfield,25,30,49,18,0,17,6,0,0,4,30,Portugal,173
Jakub Kiwior,Left-Back,24,30,32,1,1,3,2,0,0,12,7,Poland,189
Ademola Lookman,Second Striker,26,30,57,20,0,10,6,0,0,17,31,Nigeria,174
Davide Frattesi,Central Midfield,24,30,44,8,0,7,3,0,0,32,6,Italy,178
Nico Schlotterbeck,Centre-Back,24,30,48,2,1,5,9,0,0,3,5,Germany,191
Alessandro Buongiorno,Centre-Back,24,30,32,3,0,1,7,0,0,0,3,Italy,190
Ibrahim Sangaré,Defensive Midfield,26,30,34,3,0,1,7,0,0,6,14,Ivory Coast,191
Frank Anguissa,Central Midfield,28,30,48,1,0,3,4,0,0,2,9,Cameroon,184
Fabián Ruiz,Central Midfield,28,30,36,3,0,7,5,0,0,9,13,Spain,189
Pervis Estupiñán,Left-Back,26,30,28,3,1,4,7,0,0,6,8,Ecuador,175
Artem Dovbyk,Centre-Forward,26,30,43,26,0,10,2,0,0,8,23,Ukraine,189
Noussair Mazraoui,Right-Back,26,30,33,0,0,4,5,0,0,5,12,Morocco,183
Joe Willock,Central Midfield,24,30,14,2,0,0,1,0,0,5,9,England U21,186
Eddie Nketiah,Centre-Forward,24,30,38,6,0,3,4,0,0,25,9,England,175
Malcom,Right Winger,27,30,49,23,0,13,5,0,0,1,22,Brazil,171
Tomas Soucek,Defensive Midfield,29,30,55,10,0,5,10,0,0,6,9,Czechia,192
Marcos Llorente,Central Midfield,29,30,52,6,0,6,6,0,0,14,16,Spain,184
Aleksandr Golovin,Attacking Midfield,27,30,30,7,0,7,9,0,1,0,12,Russia,178
Rodrigo de Paul,Central Midfield,30,30,50,4,0,7,9,1,0,11,28,Argentina,180
Andrew Robertson,Left-Back,30,30,33,3,0,3,2,0,0,7,8,Scotland,178
Otávio,Attacking Midfield,29,30,46,11,0,8,7,0,0,2,23,Portugal,172
José Gayà,Left-Back,29,30,27,2,0,3,3,0,0,5,9,Spain,172
Jonathan Tah,Centre-Back,28,30,55,6,0,1,10,0,0,3,5,Germany,195
John McGinn,Central Midfield,29,30,57,9,0,7,12,0,1,4,20,Scotland,178
Stanislav Lobotka,Defensive Midfield,29,30,51,0,0,1,4,0,0,2,17,Slovakia,168
João Cancelo,Right-Back,30,30,43,4,0,5,9,0,0,4,12,Portugal,182
James Ward-Prowse,Central Midfield,29,30,52,7,0,12,5,0,0,6,9,England,177
Leon Goretzka,Central Midfield,29,30,46,6,0,11,5,0,0,10,11,Germany,189
Virgil van Dijk,Centre-Back,32,30,50,4,0,2,4,0,1,3,2,Netherlands,195
Jan Oblak,Goalkeeper,31,30,56,0,1,0,1,0,0,0,1,Slovenia,188
Thibaut Courtois,Goalkeeper,32,30,4,0,0,0,0,0,0,0,1,Belgium,200
Romelu Lukaku,Centre-Forward,31,30,48,21,0,5,5,0,1,2,14,Belgium,191
Marc-André Ter Stegen,Goalkeeper,32,30,42,0,0,0,3,0,0,0,0,Germany,187
Mateo Kovacic,Central Midfield,30,30,48,3,0,1,5,0,0,17,16,Croatia,177
Lionel Messi,Right Winger,36,30,13,12,0,11,0,0,0,1,1,Argentina,170
Hugo Larsson,Central Midfield,19,28,40,2,0,2,1,0,0,12,9,Sweden,187
Danilo,Central Midfield,23,28,34,3,0,2,5,0,0,9,14,Brazil,177
Jamie Bynoe-Gittens,Left Winger,19,28,40,3,0,9,2,0,0,19,19,England U21,177
Aaron Hickey,Right-Back,21,28,12,0,0,0,5,0,0,1,9,Scotland,185
Youssouf Fofana,Central Midfield,25,28,39,5,1,4,3,0,0,4,7,France,185
Noni Madueke,Right Winger,22,28,41,14,0,7,2,0,0,15,20,England U21,182
Karim Adeyemi,Left Winger,22,28,34,5,0,3,5,1,0,15,14,Germany U21,180
Matty Cash,Right-Back,26,28,47,5,1,3,11,0,0,13,11,Poland,185
Amine Gouiri,Left Winger,24,28,46,12,0,3,4,0,0,11,26,Algeria,181
Giacomo Raspadori,Second Striker,24,28,49,6,0,3,1,0,0,31,13,Italy,172
Vitaliy Mykolenko,Left-Back,24,28,36,2,1,0,0,0,0,0,5,Ukraine,180
